id,name,party,sector,country
lk,LarsKlingbeil,spd,politik,deutschland
uv,UrsulavonderLeyen,cdu,politik,deutschland
nr,NorbertRöttgen,cdu,politik,deutschland
sw,SahraWagenknecht,linke,politik,deutschland
cs,ConstanzeStelzenmueller,,juristin,amerika
cl,ChristianLindner,cdu,politik,deutschland
ks,KarlSchlögel,,historiker,deutschland
lm,LjudmylaMelnyk,,wissenschaftlerin,ukraine
kd,KristinaDunz,,redakteurin,deutschland
ab,AnnalenaBaerbock,gruene,politik,deutschland
ft,FransTimmermans,,politik,deutschland
am,AndrijMelnyk,,politik,ukraine
agl,AlexanderGrafLambsdorff,fdp,politik,deutschland
er,EgonRamms,,bundeswehr,deutschland
rh,RobertHabeck,gruene,politik,deutschland
cm,ClaudiaMajor,,politik,deutschland
kp,KatjaPetrowskaja,,schriftstellerin,ukraine
rk,RoderichKiesewetter,cdu,politik,deutschland
chl,ChristineLambrecht,spd,politik,deutschland
Sb,StefanieBabst,,politik,deutschland
ch,ChristophHeusgen,,politik,deutschland
mw,MarinaWeisband,,politik,ukraine
os,OlafScholz,spd,politik,deutschland
ms,MarkusSöder,csu,politik,deutschland
vg,VeronikaGrimm,,wissenschaftlerin,deutschland
mb,MarieluiseBeck,gruene,politik,deutschland
ra,RobinAlexander,,redakteur,deutschland
ab,AnnalenaBaerbock,gruene,politik,deutschland
se,SaskiaEsken,spd,politik,deutschland
jdw,JohannDavidWadephul,cdu,politik,deutschland
mf,MarkusFeldenkirchen,,autor,deutschland
kk,KevinKühnert,spd,politik,deutschland
bh,BrittaHasselmann,gruene,politik,deutschland
rp,RuprechtPolenz,cdu,politik,deutschland
hw,HaraldWelzer,,soziologe,deutschland
500,Folge500,,,
501,Folge501,,,
502,Folge502,,,
503,Folge503,,,
504,Folge504,,,
505,Folge505,,,
506,Folge506,,,
507,Folge507,,,
508,Folge508,,,
